Order_ID,Date,Customer_Name,City,Product,Category,Quantity,Sales,Cost,Profit
1000,2025-02-14,Suman Ghosh,Mumbai,Sofa,Furniture,5,31173,24170,7003
1001,2025-01-02,Amit Roy,Kolkata,Jacket,Clothing,4,9039,8161,878
1002,2025-01-07,Neha Verma,Kolkata,Tablet,Electronics,4,38343,34635,3708
1003,2025-02-18,Priya Sen,Kolkata,T-shirt,Clothing,1,32343,25106,7237
1004,2025-01-28,Amit Roy,Mumbai,T-shirt,Clothing,5,39891,37056,2835
1005,2025-06-04,Amit Roy,Chennai,T-shirt,Clothing,4,45077,39521,5556
1006,2025-04-25,Suman Ghosh,Kolkata,Shirt,Clothing,3,2788,705,2083
1007,2025-02-01,Suman Ghosh,Bangalore,Sofa,Furniture,1,34891,28456,6435
1008,2025-03-22,Amit Roy,Chennai,Headphones,Electronics,5,23892,18313,5579
1009,2025-05-20,Amit Roy,Siliguri,Tablet,Electronics,5,9287,1345,7942
1010,2025-05-08,Amit Roy,Kolkata,Sofa,Furniture,2,35613,32669,2944
1011,2025-05-30,Suman Ghosh,Delhi,Shirt,Clothing,5,5456,1836,3620
1012,2025-01-28,Rahul Das,Chennai,Mobile,Electronics,1,24354,16709,7645
1013,2025-01-27,Amit Roy,Kolkata,T-shirt,Clothing,5,7081,3885,3196
1014,2025-01-29,Amit Roy,Kolkata,Laptop,Electronics,1,21328,15242,6086
1015,2025-05-24,Amit Roy,Mumbai,Jacket,Clothing,5,28966,20051,8915
1016,2025-02-12,Rahul Das,Mumbai,Laptop,Electronics,5,3549,1090,2459
1017,2025-02-01,Ankit Sharma,Bangalore,Bed,Furniture,4,18174,8439,9735
1018,2025-02-09,Ankit Sharma,Siliguri,Chair,Furniture,3,27553,18179,9374
1019,2025-05-24,Amit Roy,Mumbai,Jacket,Clothing,2,40751,35157,5594
1020,2025-05-04,Suman Ghosh,Kolkata,Headphones,Electronics,5,25555,23694,1861
1021,2025-06-04,Neha Verma,Delhi,Table,Furniture,3,9169,1116,8053
1022,2025-04-23,Priya Sen,Siliguri,Laptop,Electronics,2,19559,15012,4547
1023,2025-04-27,Neha Verma,Mumbai,Laptop,Electronics,2,40252,38061,2191
1024,2025-01-14,Ankit Sharma,Kolkata,Sofa,Furniture,1,36769,30957,5812
1025,2025-03-11,Amit Roy,Chennai,T-shirt,Clothing,3,26107,19411,6696
1026,2025-02-24,Priya Sen,Mumbai,Jeans,Clothing,3,26439,20035,6404
1027,2025-06-17,Priya Sen,Mumbai,Tablet,Electronics,4,22253,18686,3567
1028,2025-01-02,Amit Roy,Bangalore,T-shirt,Clothing,2,41799,38293,3506
1029,2025-06-10,Rahul Das,Delhi,Jeans,Clothing,3,25669,21649,4020
1030,2025-04-30,Suman Ghosh,Bangalore,T-shirt,Clothing,5,33413,28691,4722
1031,2025-06-09,Priya Sen,Chennai,Bed,Furniture,1,7788,4205,3583
1032,2025-06-04,Rahul Das,Mumbai,Chair,Furniture,3,26434,19504,6930
1033,2025-03-11,Ankit Sharma,Bangalore,Jacket,Clothing,3,46555,39872,6683
1034,2025-04-23,Neha Verma,Kolkata,Laptop,Electronics,5,24573,21391,3182
1035,2025-04-21,Ankit Sharma,Siliguri,Table,Furniture,5,44724,39587,5137
1036,2025-04-15,Amit Roy,Delhi,Chair,Furniture,2,27500,24056,3444
1037,2025-04-17,Ankit Sharma,Delhi,Chair,Furniture,4,24212,22651,1561
1038,2025-01-27,Ankit Sharma,Mumbai,Sofa,Furniture,2,30996,23591,7405
1039,2025-05-19,Neha Verma,Mumbai,Jacket,Clothing,4,9863,1307,8556
1040,2025-02-17,Rahul Das,Siliguri,Jacket,Clothing,2,17082,12121,4961
1041,2025-01-03,Amit Roy,Mumbai,Mobile,Electronics,5,19604,9832,9772
1042,2025-01-16,Suman Ghosh,Kolkata,Chair,Furniture,4,6620,3342,3278
1043,2025-03-26,Priya Sen,Bangalore,Jeans,Clothing,5,40431,32705,7726
1044,2025-06-02,Suman Ghosh,Mumbai,Laptop,Electronics,2,21361,20397,964
1045,2025-04-14,Neha Verma,Siliguri,Jeans,Clothing,2,4245,1666,2579
1046,2025-06-09,Priya Sen,Bangalore,Shirt,Clothing,5,35491,28400,7091
1047,2025-04-05,Ankit Sharma,Chennai,Shirt,Clothing,4,7255,1384,5871
1048,2025-06-28,Amit Roy,Chennai,Table,Furniture,2,22904,13592,9312
1049,2025-03-31,Amit Roy,Chennai,Chair,Furniture,2,11310,7591,3719
1050,2025-06-19,Priya Sen,Delhi,Mobile,Electronics,5,20403,11759,8644
1051,2025-05-31,Amit Roy,Kolkata,Sofa,Furniture,1,25561,18021,7540
1052,2025-05-18,Priya Sen,Kolkata,Bed,Furniture,4,28100,26307,1793
1053,2025-05-13,Rahul Das,Mumbai,Mobile,Electronics,5,36497,30887,5610
